id,name,alias,iata_code,icao_code,callsign,country,active
1920,Cranfield University,Unknown,Unknown,CFD,AERONAUT,United Kingdom,N
1921,Cree Airways,Unknown,Unknown,CRE,CREE AIR,Canada,N
1922,Crelam,Unknown,Unknown,ELM,CRELAM,Mexico,N
1923,Crest Aviation,Unknown,Unknown,CAN,CREST,United Kingdom,Y
1924,Crimea Universal Avia,Unknown,Unknown,KRM,TRANS UNIVERSAL,Ukraine,N
1925,Croatia Airlines,Unknown,OU,CTN,CROATIA,Croatia,Y
1926,Croatian Air Force,Unknown,Unknown,HRZ,CROATIAN AIRFORCE,Croatia,N
1927,Cross Aviation,Unknown,Unknown,CRX,CROSSAIR,United Kingdom,N
1928,Crossair Europe,Unknown,QE,ECC,Cigogne,Switzerland,N
1929,Crow Executive Air,Unknown,Unknown,CWX,CROW EXPRESS,United States,N
1930,Crown Air Systems,Unknown,Unknown,CKR,CROWN AIR,United States,N
1931,Crown Airways,Unknown,Unknown,CRO,CROWN AIRWAYS,United States,Y
1932,Crownair,Unknown,Unknown,CRW,REGAL,Canada,N
1933,Cruiser Linhas Aereas,Unknown,Unknown,VCR,VOE CRUISER,Brazil,N
1934,Cryderman Air Service,Unknown,Unknown,CTY,CENTURY,United States,N
1935,Crystal Shamrock,Unknown,Unknown,CYT,CRYSTAL-AIR,United States,N
1936,Cubana de Aviación,Unknown,CU,CUB,CUBANA,Cuba,Y
1937,Cumberland Airways (Nicholson Air Service),Unknown,Unknown,CBL,CUMBERLAND,United States,N
1938,Custom Air Transport,Unknown,Unknown,CTT,CATT,United States,N
1939,Cygnus Air,Unknown,Unknown,RGN,CYGNUS AIR,Spain,N
1940,Cyprair Tours,Unknown,Unknown,CYC,CYPRAIR,Cyprus,N
1941,Cypress Airlines,Unknown,Unknown,CYS,SKYBIRD,Canada,N
1942,Cyprus Airways,Unknown,CY,CYP,CYPRUS,Cyprus,Y
1943,Cyprus Turkish Airlines,Unknown,YK,Unknown,Unknown,Turkey,Y
1944,Czech Air Force,Unknown,Unknown,CEF,CZECH AIR FORCE,Czech Republic,N
1945,Czech Air Handling,Unknown,Unknown,AHD,AIRHANDLING,Czech Republic,N
1946,Czech Airlines,CSA Czech Airlines,OK,CSA,CSA-LINES,Czech Republic,Y
1947,Czech Government Flying Service,Unknown,Unknown,CIE,CZECHIA,Czech Republic,N
1948,D & D Aviation,Unknown,Unknown,DDA,DUSTY,United States,N
1949,D&K Aviation,Unknown,Unknown,DNK,DIRECT JET,United States,N
1950,DAP Helicopteros,Unknown,Unknown,DHE,HELIDAP,Chile,N
1951,DFS UK Limited,Unknown,Unknown,VLF,VOLANTE,United Kingdom,N
1952,DAS Air Cargo,Unknown,WD,DSR,DAIRAIR,Uganda,N
1953,DAS Airlines,Unknown,Unknown,RKC,DAS CONGO,Democratic Republic Of The Congo,N
1954,DAT Danish Air Transport,Unknown,DX,DTR,DANISH,Denmark,Y
1955,DAT Enterprise Limited,Unknown,Unknown,ENT,DATENT,United Kingdom,N
1956,DERA Boscombe Down,Unknown,Unknown,BDN,GAUNTLET,United Kingdom,N
1957,DESNA,Unknown,Unknown,DSN,DESNA,Ukraine,N
1958,DETA Air,Unknown,Unknown,DET,SAMAL,Kazakhstan,N
1959,DGO Jet,Unknown,Unknown,DGO,DGO JET,Mexico,N
1960,DHL Aero Expreso,Unknown,Unknown,DAE,YELLOW,Panama,N
1961,DHL Air,Unknown,Unknown,DHK,WORLD EXPRESS,United Kingdom,N
1962,DHL Aviation,Unknown,Unknown,DHV,WORLDSTAR,South Africa,N
1963,DHL International,Unknown,ES,DHX,DILMUN,Bahrain,N
1964,DHL de Guatemala,Unknown,L3,JOS,Unknown,Guatemala,N
1965,DSWA,Unknown,Unknown,RSK,REDSKIN,United States,N
1966,Daallo Airlines,Unknown,D3,DAO,DALO AIRLINES,Djibouti,Y
1967,Dagestan Airlines,Unknown,N2,DAG,DAGAL,Russia,N
1968,Dahla Airlines,Unknown,Unknown,DHA,Unknown,Democratic Republic Of Congo,N
1969,Daimler Chrysler Aviation,Unknown,Unknown,DCS,TWIN STAR,Germany,N
1970,Daimler-Chrysler,Unknown,Unknown,DCX,DAIMLER,United States,N
1971,Daka,Unknown,Unknown,DKA,Unknown,Kazakhstan,N
1972,Dala Air Services,Unknown,Unknown,DLR,DALA AIR,Nigeria,N
1973,Dalavia,Unknown,H8,KHB,DALAVIA,Russia,Y
1974,Dallas Express Airlines,Unknown,Unknown,DXP,DALLAS EXPRESS,United States,N
1975,Damascene Airways,Unknown,Unknown,DAS,AIRDAM,Syrian Arab Republic,N
1976,Danbury Airways,Unknown,Unknown,DSA,DANBURY AIRWAYS,United States,N
1977,Dancopter,Unknown,Unknown,DOP,DANCOPTER,Denmark,N
1978,Danish Air Force,Unknown,Unknown,DAF,DANISH AIRFORCE,Denmark,N
1979,Danish Army,Unknown,Unknown,DAR,DANISH ARMY,Denmark,N
1980,Danish Navy,Unknown,Unknown,DNY,DANISH NAVY,Denmark,N
1981,Danu Oro Transportas,Unknown,Unknown,DNU,DANU,Lithuania,N
1982,Darta,Unknown,Unknown,DRT,DARTA,France,N
1983,Darwin Airline,Unknown,0D,DWT,DARWIN,Switzerland,Y
1984,Dasab Airlines,Unknown,Unknown,DSQ,DASAB AIR,Uganda,N
1985,Dash Air Charter,Unknown,Unknown,DSH,DASH CHARTER,United States,N
1986,Dash Aviation,Unknown,Unknown,GOB,PILGRIM,United Kingdom,N
1987,Dasnair,Unknown,Unknown,DGX,DASNA,Switzerland,N
1988,Dassault Aviation,Unknown,Unknown,DAB,Unknown,France,N
1989,Dassault Falcon Jet Corporation,Unknown,Unknown,CVF,CLOVERLEAF,United States,N
1990,Dassault Falcon Service,Unknown,Unknown,DSO,DASSAULT,France,N
1991,Data International,Unknown,Unknown,DTN,DATA AIR,Sudan,N
1992,Date Transformation Corp,Unknown,Unknown,XDT,Unknown,United States,N
1993,Dauair,Unknown,D5,DAU,DAUAIR,Germany,N
1994,David Crawshaw Consultants Limited,Unknown,Unknown,DCO,Unknown,United Kingdom,N
1995,Dawn Air,Unknown,Unknown,DWN,DAWN AIR,United States,N
1996,DayJet,Unknown,Unknown,DJS,DAYJET,United States,N
1997,Daya Aviation,Unknown,Unknown,DAY,DAYA,Sri Lanka,N
1998,De Havilland,Unknown,Unknown,DHC,DEHAVILLAND,Canada,N
1999,Deadalos Flugtbetriebs,Unknown,Unknown,IAY,IASON,Austria,N
2000,Decatur Aviation,Unknown,Unknown,DAA,DECUR,United States,N
2001,Deccan Aviation,Unknown,Unknown,DKN,DECCAN,India,N
2002,Deccan Aviation (Lanka),Unknown,Unknown,DLK,DEKKANLANKA,Sri Lanka,N
2003,Deer Jet,Unknown,Unknown,DER,DEER JET,China,N
2004,Deere and Company,Unknown,Unknown,JDC,JOHN DEERE,United States,N
2005,Delaware Skyways,Unknown,Unknown,DWR,DELAWARE,United States,N
2006,Delta Aerotaxi,Unknown,Unknown,DEA,JET SERVICE,Italy,Y
2007,Delta Air Charter,Unknown,Unknown,SNO,SNOWBALL,Canada,N
2008,Delta Air Elite,Unknown,Unknown,ELJ,ELITE JET,United States,N
2009,Delta Air Lines,Unknown,DL,DAL,DELTA,United States,Y
2010,Delta Engineering Aviation,Unknown,Unknown,KMB,KEMBLEJET,United Kingdom,N
2011,Delta Express International,Unknown,Unknown,DLI,DELTA EXPRESS,Ukraine,N
2012,Delta State University,Unknown,Unknown,DSU,DELTA STATE,United States,N
2013,Denim Air,Unknown,Unknown,DNM,DENIM,Netherlands,Y
2014,Denver Express,Unknown,Unknown,FEC,FALCON EXPRESS,United States,N
2015,Denver Jet,Unknown,Unknown,DJT,DENVER JET,United States,N
2016,Departmento De Agricultura De La Generalitat De Cataluna,Unknown,Unknown,FGC,FORESTALES,Spain,N
2017,Deraya Air Taxi,Unknown,Unknown,DRY,DERAYA,Indonesia,N
2018,Des R Cargo Express,Unknown,Unknown,DRX,Unknown,Mauritania,N
2019,Desarrollo Milaz,Unknown,Unknown,MIZ,MILAZ,Mexico,N
2020,Destiny Air Services,Unknown,Unknown,DTY,DESTINY,Sierra Leone,N
2021,Deutsche Bahn,Unknown,2A,Unknown,Unknown,Germany,Y
2022,Deutsche Rettungsflugwacht,Unknown,1I,AMB,CIVIL AIR AMBULANCE,Germany,N
2023,Deutsches Zentrum fur Luft-und Raumfahrt EV,Unknown,Unknown,LFO,LUFO,Germany,N
2024,Di Air,Unknown,Unknown,DIS,DI AIR,Serbia,N
2025,Diamond Aviation,Unknown,Unknown,SPK,SPARKLE,United States,N
2026,Didier Rousset Buy,Unknown,Unknown,DRB,DIDIER,Chile,N
